Laureate_ID,Laureate_name,Prize_year,Pub_duration,Paper_cum
30001,"Ohsumi, Y",2016,35,199
30003,"Omura, S",2015,49,949
30004,"Campbell, Wc",2015,32,59
30005,"Moser, Ei",2014,22,94
30006,"Okeefe, J",2014,31,76
30008,"Sudhof, Tc",2013,32,417
30009,"Schekman, R",2013,1,1
30010,"Rothman, Je",2013,41,198
30011,"Yamanaka, S",2012,22,159
30012,"Gurdon, Jb",2012,44,120
30013,"Steinman, Rm",2011,38,309
30014,"Hoffmann, Ja",2011,42,180
30016,"Edwards, Rg",2010,46,138
30017,"Szostak, Jw",2009,32,169
30018,"Greider, Cw",2009,22,77
30019,"Blackburn, Eh",2009,31,169
30020,"Barresinoussi, F",2008,28,146
30021,"Hausen, Hz",2008,40,169
30022,"Montagnier, L",2008,7,8
30023,"Evans, Mj",2007,26,82
30024,"Capecchi, Mr",2007,36,123
30025,"Smithies, O",2007,47,217
30026,"Mello, Cc",2006,13,36
30029,"Marshall, Bj",2005,20,66
30030,"Buck, L",2004,14,32
30031,"Axel, R",2004,32,118
30032,"Mansfield, P",2003,33,147
30033,"Lauterbur, Pc",2003,36,82
30034,"Horvitz, Hr",2002,24,94
30035,"Brenner, S",2002,49,217
30036,"Sulston, Je",2002,27,50
30037,"Nurse, P",2001,6,6
30038,"Hunt, T",2001,34,102
30039,"Hartwell, Lh",2001,32,72
30040,"Kandel, Er",2000,34,234
30041,Greengar.P,2000,38,399
30042,"Carlsson, A",2000,47,295
30043,"Blobel, G",1999,33,161
30044,"Murad, F",1998,29,128
30045,"Furchgott, Rf",1998,18,21
30046,"Ignarro, Lj",1998,25,126
30047,"Prusiner, Sb",1997,28,283
30048,Zinkerna.Rm,1996,23,209
30049,"Doherty, Pc",1996,29,144
30050,"Nussleinvolhard, C",1995,13,43
30052,"Lewis, Eb",1995,16,20
30053,"Rodbell, M",1994,16,33
30054,"Gilman, Ag",1994,16,31
30055,"Sharp, Pa",1993,24,171
30056,"Roberts, Rj",1993,23,74
30057,"Fischer, Eh",1992,39,132
30058,"Krebs, Eg",1992,30,86
30059,"Sakmann, B",1991,21,69
30060,"Neher, E",1991,21,52
30061,Thomas Ed,1990,32,281
30062,"Murray, Je",1990,34,154
30063,"Varmus, He",1989,20,142
30064,"Bishop, Jm",1989,24,158
30065,"Black, Jw",1988,13,20
30066,"Hitchings, Gh",1988,30,82
30067,"Elion, Gb",1988,32,78
30068,"Tonegawa, S",1987,16,66
30069,"Cohen, S",1986,14,29
30070,"Levimontalcini, R",1986,32,72
30071,"Brown, Ms",1985,15,118
30072,"Goldstein, Jl",1985,15,123
30073,"Milstein, C",1984,19,90
30074,"Kohler, G",1984,1,2
30075,"Jerne, Nk",1984,8,9
30076,"Mcclintock, B",1983,17,21
30077,Samuelss.B,1982,7,9
30078,"Vane, Jr",1982,19,88
30079,"Bergstrom, S",1982,3,3
30080,"Hubel, Dh",1981,25,52
30081,"Sperry, Rw",1981,37,85
30082,"Wiesel, Tn",1981,22,43
30084,"Dausset, J",1980,14,38
30085,Benacerr.B,1980,26,198
30087,"Cormack, Am",1979,5,5
30088,"Nathans, D",1978,17,47
30089,"Arber, W",1978,16,25
30090,"Smith, Ho",1978,16,36
30091,"Schally, Av",1977,22,419
30092,Guillemi.R,1977,3,7
30093,"Yalow, Rs",1977,27,107
30094,"Gajdusek, Dc",1976,19,65
30095,"Blumberg, Bs",1976,18,93
30096,Baltimor.D,1975,14,64
30097,"Temin, Hm",1975,15,38
30098,"Dulbecco, R",1975,24,72
30099,"Duve, Cd",1974,14,27
30100,"Palade, Ge",1974,24,74
30101,"Claude, A",1974,22,42
30102,Karl Von Frisch,1973,11,11
30103,"Lorenz, K",1973,16,18
30104,"Edelman, Gm",1972,14,69
30105,"Porter, Rr",1972,6,6
30106,"Sutherland, Ew",1971,13,27
30107,Von Euler Us,1970,30,92
30108,"Axelrod, J",1970,20,152
30109,"Katz, B",1970,22,48
30110,"Luria, Se",1969,11,16
30112,"Delbruck, M",1969,12,17
30113,"Nirenberg, M",1968,8,31
30114,"Khorana, Hg",1968,5,9
30115,"Holley, Rw",1968,14,37
30117,"Hartline, Hk",1967,14,18
30119,"Huggins, C",1966,1,1
30120,"Rous, P",1966,50,153
30122,"Lwoff, A",1965,1,1
30123,"Jacob, F",1965,11,24
30124,"Lynen, F",1964,2,3
30125,"Bloch, K",1964,3,3
30126,"Eccles, Jc",1963,13,29
30127,"Hodgkin, Al",1963,2,6
30128,"Huxley, Af",1963,2,7
30129,"Wilkins, Mhf",1962,5,6
30130,"Watson, Jd",1962,10,23
30133,"Medawar, Pb",1960,12,14
30134,"Burnet, Fm",1960,34,129
30135,"Kornberg, A",1959,9,16
30136,"Ochoa, S",1959,11,28
30137,"Lederberg, J",1958,11,25
30138,"Beadle, Gw",1958,20,39
30139,"Tatum, El",1958,13,26
30140,"Bovet, D",1957,4,6
30141,"Richards, Dw",1956,23,50
30144,"Robbins, Fc",1954,6,9
30145,"Weller, Th",1954,7,11
30146,"Enders, Jf",1954,24,53
30148,"Krebs, Ha",1953,6,7
30149,"Waksman, Sa",1952,37,187
30151,"Kendall, Ec",1950,22,37
30152,"Reichstein, T",1950,16,34
30153,"Hench, Ps",1950,13,19
30157,"Cori, Gt",1947,15,36
30158,"Houssay, Ba",1947,3,3
30159,"Cori, Cf",1947,16,49
30160,"Muller, Hj",1946,32,69
30163,"Florey, Hw",1945,8,12
30164,"Erlanger, J",1944,34,77
30165,"Gasser, Hs",1944,23,43
30166,"Doisy, Ea",1943,15,39
30171,"Dale, Hh",1936,3,3
30174,"Minot, Gr",1934,20,44
30175,"Whipple, Gh",1934,13,35
30176,"Murphy, Wp",1934,9,21
30177,"Morgan, Th",1933,21,27
30180,"Hopkins, Fg",1929,13,16
30186,"Hill, Av",1922,1,1
30189,"Carrel, A",1912,7,35
