Laureate_ID,Laureate_name,Prize_year,Pub_duration,Paper_cum
10001,"Thouless, Dj",2016,43,115
10002,"Kosterlitz, Jm",2016,32,69
10003,"Haldane, Fdm",2016,27,51
10004,"Kajita, T",2015,32,169
10005,"Mcdonald, Ab",2015,37,83
10006,"Akasaki, Isamu",2014,39,612
10007,"Amano, Hiroshi",2014,29,605
10008,"Nakamura, Shuji",2014,27,549
10010,"Higgs, Pw",2013,9,12
10011,"Haroche, Serge",2012,43,144
10012,"Wineland, David",2012,39,184
10013,"Perlmutter, S",2011,24,98
10014,"Schmidt, Bp",2011,20,112
10015,"Riess, Adam G.",2011,17,102
10016,"Novoselov, Kostya S.",2010,12,96
10017,"Geim, Andre K.",2010,20,174
10019,"Boyle, Ws",2009,2,2
10020,"Smith, Ge",2009,5,6
10021,"Nambu, Yoichiro",2008,43,86
10022,"Kobayash, M",2008,44,297
10023,"Maskawa, T",2008,12,18
10024,"Fert, A",2007,36,268
10025,"Grunberg, P",2007,22,90
10026,"Mather, Jc",2006,24,75
10027,"Smoot, Gf",2006,33,157
10028,"Glauber, Rj",2005,29,46
10029,"Hall, Jl",2005,40,135
10030,"Hansch, Tw",2005,39,308
10032,"Gross, Dj",2004,40,117
10033,"Politzer, Hd",2004,23,53
10034,"Abrikosov, Aa",2003,36,75
10035,"Leggett, Aj",2003,30,96
10036,"Ginzburg, Vl",2003,15,21
10037,"Koshiba, M",2002,38,130
10038,"Giacconi, R",2002,1,1
10039,Raymond Davis Jr.,2002,1,1
10042,"Wiemann, Ce",2001,3,3
10043,Kroemer Herbert ,2000,33,219
10044,"Alferov, Zi",2000,20,206
10045,"Kilby, Js",2000,2,2
10046,"Veltman, M",1999,17,27
10047,"Thooft, G",1999,26,59
10048,"Stormer, Hl",1998,21,122
10049,"Tsui, Dc",1998,29,265
10050,"Laughlin, Rb",1998,20,47
10051,"Phillips, Wd",1997,38,118
10053,"Chu, S",1997,20,72
10054,"Lee, Dm",1996,27,67
10055,"Osheroff, Dd",1996,17,41
10056,"Richards, Rc",1996,22,56
10057,"Perl, Ml",1995,41,234
10058,"Reines, F",1995,35,82
10059,"Shull, Cg",1994,35,64
10060,"Brockhouse, Bn",1994,20,47
10061,"Hulse, Ra",1993,8,36
10062,"Taylor, Jh",1993,21,71
10063,"Charpak, G",1992,37,180
10064,"Degennes, Pg",1991,2,2
10065,"Taylor, Re",1990,12,17
10066,"Friedman, Ji",1990,18,29
10067,"Kendall, Hw",1990,22,34
10068,"Ramsey, Nf",1989,44,147
10069,"Dehmelt, Hg",1989,10,12
10070,"Paul, W",1989,14,20
10071,"Steinberger, J",1988,35,97
10072,"Schwartz, M",1988,2,2
10073,"Lederman, Lm",1988,30,94
10074,"Muller, Ka",1987,25,79
10075,"Bednorz, Jg",1987,8,30
10076,"Binnig, G",1986,7,26
10077,"Rohrer, H",1986,9,28
10078,"Ruska, E",1986,4,4
10080,"Rubbia, C",1984,22,117
10082,"Fowler, Wa",1983,43,133
10083,"Chandrasekhar, S",1983,52,238
10084,"Wilson, Kg",1982,14,31
10085,"Siegbahn, K",1981,23,104
10086,"Schawlow, Al",1981,30,79
10087,"Bloember, N",1981,32,131
10088,"Cronin, Jw",1980,19,31
10089,"Fitch, V",1980,10,15
10090,"Salam, A",1979,30,173
10091,"Weinberg, S",1979,24,114
10092,"Glashow, Sl",1979,19,57
10094,"Wilson, Rw",1978,2,2
10095,"Penzias, Aa",1978,13,43
10096,"Mott, N",1977,21,40
10097,"Anderson, Pw",1977,25,66
10099,"Ting, Scc",1976,7,12
10100,"Richter, B",1976,12,49
10101,"Bohr, A.",1975,1,1
10102,"Mottelson, Br",1975,5,8
10103,"Rainwater, J",1975,22,55
10104,"Ryle, M",1974,20,40
10105,"Hewish, A",1974,3,3
10106,"Esaki, L",1973,12,28
10107,"Giaever, I",1973,7,11
10108,"Josephson, Bd",1973,5,5
10109,"Schrieffer, Jr",1972,6,11
10110,"Cooper, Ln",1972,14,24
10111,"Bardeen, J",1972,30,59
10112,"Gabor, D",1971,17,33
10113,"Neel, L",1970,1,1
